Sample in Buffer,Sample in Window,TRIGGER,u_ndpp_wrapper/user_logic_native_mem_valid[0:0],u_ndpp_wrapper/user_logic_native_mem_address[23:0],u_ndpp_wrapper/user_logic_native_mem_strb[31:0],u_ndpp_wrapper/user_logic_native_mem_data[7:0],u_ndpp_wrapper/trigger_counter[7:0],u_ndpp_wrapper/trigger_counter_hls[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
131,131,0,0,300060,00000000,c9,00,01
132,132,0,0,300060,00000000,c9,00,01
133,133,0,0,300060,00000000,c9,00,01
134,134,0,0,300060,00000000,c9,00,01
135,135,0,0,300060,00000000,c9,00,01
136,136,0,0,300060,00000000,c9,00,01
137,137,0,0,300060,00000000,c9,00,01
138,138,0,0,300060,00000000,c9,00,01
139,139,0,0,300060,00000000,c9,00,01
140,140,0,0,300060,00000000,c9,00,01
141,141,0,0,300060,00000000,c9,00,01
142,142,0,0,300060,00000000,c9,00,01
143,143,0,0,300060,00000000,c9,00,01
144,144,0,0,300060,00000000,c9,00,01
145,145,0,0,300060,00000000,c9,00,01
146,146,0,0,300060,00000000,c9,00,01
147,147,0,0,300060,00000000,c9,00,01
148,148,0,0,300060,00000000,c9,00,01
149,149,0,0,300060,00000000,c9,00,01
150,150,0,0,300060,00000000,c9,00,01
151,151,0,0,300060,00000000,c9,00,01
152,152,0,0,300060,00000000,c9,00,01
153,153,0,0,300060,00000000,c9,00,01
154,154,0,0,300060,00000000,c9,00,01
155,155,0,0,300060,00000000,c9,00,01
156,156,0,0,300060,00000000,c9,00,01
157,157,0,0,300060,00000000,c9,00,01
158,158,0,0,300060,00000000,c9,00,01
159,159,0,0,300060,00000000,c9,00,01
160,160,0,0,300060,00000000,c9,00,01
161,161,0,0,300060,00000000,c9,00,01
162,162,0,0,300060,00000000,c9,00,01
163,163,0,0,300060,00000000,c9,00,01
164,164,0,0,300060,00000000,c9,00,01
165,165,0,0,300060,00000000,c9,00,01
166,166,0,0,300060,00000000,c9,00,01
167,167,0,0,300060,00000000,c9,00,01
168,168,0,0,300060,00000000,c9,00,01
169,169,0,0,300060,00000000,c9,00,01
170,170,0,0,300060,00000000,c9,00,01
171,171,0,0,300060,00000000,c9,00,01
172,172,0,0,300060,00000000,c9,00,01
173,173,0,0,300060,00000000,c9,00,01
174,174,0,0,300060,00000000,c9,00,01
175,175,0,0,300060,00000000,c9,00,01
176,176,0,0,300060,00000000,c9,00,01
177,177,0,0,300060,00000000,c9,00,01
178,178,0,0,300060,00000000,c9,00,01
179,179,0,0,300060,00000000,c9,00,01
180,180,0,0,300060,00000000,c9,00,01
181,181,0,0,300060,00000000,c9,00,01
182,182,0,0,300060,00000000,c9,00,01
183,183,0,0,300060,00000000,c9,00,01
184,184,0,0,300060,00000000,c9,00,01
185,185,0,0,300060,00000000,c9,00,01
186,186,0,0,300060,00000000,c9,00,01
187,187,0,0,300060,00000000,c9,00,01
188,188,0,0,300060,00000000,c9,00,01
189,189,0,0,300060,00000000,c9,00,01
190,190,0,0,300060,00000000,c9,00,01
191,191,0,0,300060,00000000,c9,00,01
192,192,0,0,300060,00000000,c9,00,01
193,193,0,0,300060,00000000,c9,00,01
194,194,0,0,300060,00000000,c9,00,01
195,195,0,0,300060,00000000,c9,00,01
196,196,0,0,300060,00000000,c9,00,01
197,197,0,0,300060,00000000,c9,00,01
198,198,0,0,300060,00000000,c9,00,01
199,199,0,0,300060,00000000,c9,00,01
200,200,0,0,300060,00000000,c9,00,01
201,201,0,0,300060,00000000,c9,00,01
202,202,0,0,300060,00000000,c9,00,01
203,203,0,0,300060,00000000,c9,00,01
204,204,0,0,300060,00000000,c9,00,01
205,205,0,0,300060,00000000,c9,00,01
206,206,0,0,300060,00000000,c9,00,01
207,207,0,0,300060,00000000,c9,00,01
208,208,0,0,300060,00000000,c9,00,01
